verbs,celebrities,adjectives,nouns,body parts,places,adverbs,animals
pick,,fatherly,gymnasts ,,,,Yeti 
pinch,,favorable,hails ,,,,Yorkshire terrier 
pine,,favorite,hairs ,,,,Zander 
place,,fearful,haircuts ,,,,Zebra 
plan,,fearless,halls ,,,,Zebra Finch 
plant,,feisty,hamburgers ,,,,Zebra Dove 
play,,feline,hammers ,,,,Zorilla 
please,,female,hamsters ,,,,Zebu
plug,,feminine,hands ,,,,
point,,few,handballs ,,,,
poke,,fickle,handles ,,,,
polish,,filthy,hardware ,,,,
pop,,fine,harmonicas ,,,,
possess,,finished,harmonies ,,,,
post,,firm,hats ,,,,
pour,,first,hates ,,,,
practise,,firsthand,hawks ,,,,
pray,,fitting,heads ,,,,
preach,,fixed,headlights ,,,,
precede,,flaky,health ,,,,
prefer,,flamboyant,hearts ,,,,
prepare,,flashy,heats ,,,,
present,,flat,heavens ,,,,
preserve,,flawed,hedges ,,,,
press,,flawless,heights ,,,,
pretend,,flickering,helicopters ,,,,
prevent,,flimsy,helmets ,,,,
prick,,flippant,helps ,,,,
print,,flowery,hens ,,,,
produce,,fluffy,hills ,,,,
program,,fluid,hips ,,,,
promise,,flustered,hippopotami,,,,
protect,,focused,histories ,,,,
provide,,fond,holes ,,,,
pull,,foolhardy,holidays ,,,,
pump,,foolish,homes ,,,,
punch,,forceful,honeys ,,,,
puncture,,forked,hoods ,,,,
punish,,formal,hooks ,,,,
push,,forsaken,horns ,,,,
question,,forthright,horses ,,,,
queue,,fortunate,hoses ,,,,
race,,fragrant,hospitals ,,,,
radiate,,frail,hours ,,,,
rain,,frank,houses ,,,,
raise,,frayed,hurricanes ,,,,
reach,,free,hyenas ,,,,
realise,,French,ices ,,,,
receive,,fresh,icicles ,,,,
recognise,,frequent,ideas ,,,,
record,,friendly,inks ,,,,
reduce,,frightened,insects ,,,,
reflect,,frightening,instruments ,,,,
refuse,,frigid,Internets ,,,,
regret,,frilly,inventions ,,,,
reign,,frizzy,irons ,,,,
reject,,frivolous,islands ,,,,
rejoice,,front,jackets ,,,,
relax,,frosty,jaguars ,,,,
release,,frozen,jails ,,,,
rely,,frugal,jams ,,,,
remain,,fruitful,jars ,,,,
remember,,full,jaws ,,,,
remind,,fumbling,jeans ,,,,
remove,,functional,jeeps ,,,,
repair,,funny,jellies ,,,,
repeat,,fussy,jellyfishes ,,,,
replace,,fuzzy,jets ,,,,
reply,,gargantuan,jewels ,,,,
report,,gaseous,jokes ,,,,
reproduce,,general,journeys ,,,,
request,,generous,judges ,,,,
rescue,,gentle,judos ,,,,
retire,,genuine,juices ,,,,
return,,giant,jumps ,,,,
rhyme,,giddy,jumpers ,,,,
rinse,,gigantic,kangaroos ,,,,
risk,,gifted,karats ,,,,
rob,,giving,kayaks ,,,,
rock,,glamorous,kettles ,,,,
roll,,glaring,keys ,,,,
rot,,glass,keyboards ,,,,
rub,,gleaming,kicks ,,,,
ruin,,gleeful,kisses ,,,,
rule,,glistening,kitchens ,,,,
rush,,glittering,kites ,,,,
sack,,gloomy,kittens ,,,,
sail,,glorious,knees ,,,,
satisfy,,glossy,knifes ,,,,
save,,glum,knights ,,,,
saw,,golden,knots ,,,,
scare,,good,laces ,,,,
scatter,,good-natured,ladybugs ,,,,
scold,,gorgeous,lakes ,,,,
scorch,,graceful,lambs ,,,,
scrape,,gracious,lamps ,,,,
scratch,,grand,lands ,,,,
scream,,grandiose,lasagnas ,,,,
screw,,granular,laughs  ,,,,
scribble,,grateful,leafs ,,,,
scrub,,grave,leathers ,,,,
seal,,gray,leeks ,,,,
search,,great,legs ,,,,
separate,,greedy,lemonades ,,,,
serve,,green,leopards ,,,,
settle,,gregarious,letters ,,,,
shade,,grim,lettuces ,,,,
share,,grimy,libraries ,,,,
shave,,gripping,lifts ,,,,
shelter,,grizzled,lights  ,,,,
shiver,,gross,lilies ,,,,
shock,,grotesque,lines ,,,,
shop,,grouchy,lions ,,,,
shrug,,grounded,lips ,,,,
sigh,,growing,lipsticks ,,,,
sign,,growling,liquids ,,,,
signal,,grown,lists ,,,,
sin,,grubby,litters ,,,,
sip,,gruesome,lizards ,,,,
ski,,grumpy,loafs ,,,,
skip,,guilty,lobsters ,,,,
slap,,gullible,locks ,,,,
slip,,gummy,lockets ,,,,
slow,,hairy,locusts ,,,,
smash,,half,looks ,,,,
smell,,handmade,lotions ,,,,
smile,,handsome,loves ,,,,
smoke,,handy,lunches ,,,,
snatch,,happy,lynxes ,,,,
sneeze,,happy-go-lucky,macaronies ,,,,
sniff,,hard,machines ,,,,
snore,,hard-to-find,magazines ,,,,
snow,,harmful,magics ,,,,
soak,,harmless,magicians ,,,,
soothe,,harmonious,mails ,,,,
sound,,harsh,mailboxes ,,,,
spare,,hasty,mailmen ,,,,
spark,,hateful,makeups ,,,,
sparkle,,haunting,maps ,,,,
spell,,healthy,marbles ,,,,
spill,,heartfelt,marks ,,,,
spoil,,hearty,markets ,,,,
spot,,heavenly,mascaras ,,,,
spray,,heavy,masks ,,,,
sprout,,hefty,matches ,,,,
squash,,helpful,meals ,,,,
squeak,,helpless,meats ,,,,
squeal,,hidden,mechanics ,,,,
squeeze,,hideous,medicines ,,,,
stain,,high,memories ,,,,
stamp,,high-level,men ,,,,
stare,,hilarious,menus ,,,,
start,,hoarse,messages ,,,,
stay,,hollow,metals ,,,,
steer,,homely,mice ,,,,
step,,honest,middles ,,,,
stir,,honorable,milks ,,,,
stitch,,honored,milkshakes ,,,,
stop,,hopeful,mints ,,,,
store,,horrible,minutes ,,,,
strap,,hospitable,mirrors ,,,,
strengthen,,hot,mists ,,,,
stretch,,huge,mistakes ,,,,
strip,,humble,mittens ,,,,
stroke,,humiliating,Mondays ,,,,
stuff,,humming,moneys ,,,,
subtract,,humongous,monkeys ,,,,
succeed,,hungry,months ,,,,
suck,,hurtful,moons ,,,,
suffer,,husky,mornings ,,,,
suggest,,icky,mosquitos ,,,,
suit,,icy,motorboats ,,,,
supply,,ideal,motorcycles ,,,,
support,,idealistic,mountains ,,,,
suppose,,identical,mouses ,,,,
surprise,,idle,moustaches ,,,,
surround,,idiotic,mouths ,,,,
suspect,,idolized,musics ,,,,
suspend,,ignorant,mustards ,,,,
switch,,ill,nails ,,,,
talk,,illegal,names ,,,,
tame,,ill-fated,napkins ,,,,
tap,,ill-informed,necks ,,,,
taste,,illiterate,needles ,,,,
tease,,illustrious,nests ,,,,
telephone,,imaginary,nets ,,,,
tempt,,imaginative,news ,,,,
terrify,,immaculate,nights ,,,,
test,,immaterial,noises ,,,,
thank,,immediate,noodles ,,,,
thaw,,immense,noses ,,,,
tick,,impassioned,notes ,,,,
tickle,,impeccable,notebooks ,,,,
tie,,impartial,numbers ,,,,
time,,imperfect,nuts ,,,,
tip,,imperturbable,oaks ,,,,
tire,,impish,oatmeals ,,,,
touch,,impolite,oceans ,,,,
tour,,important,octopuses ,,,,
tow,,impossible,offices ,,,,
trace,,impractical,oils ,,,,
trade,,impressionable,olives ,,,,
train,,impressive,onions ,,,,
transport,,improbable,oranges ,,,,
trap,,impure,orchestras ,,,,
travel,,inborn,ostriches ,,,,
treat,,incomparable,otters ,,,,
tremble,,incompatible,ovens ,,,,
trick,,incomplete,owls ,,,,
trip,,inconsequential,oxen ,,,,
trot,,incredible,oxygens ,,,,
trouble,,indelible,oysters ,,,,
trust,,inexperienced,packets ,,,,
try,,indolent,pages ,,,,
tug,,infamous,pails ,,,,
tumble,,infantile,pains ,,,,
turn,,infatuated,paints ,,,,
twist,,inferior,pairs ,,,,
type,,infinite,pajamas ,,,,
undress,,informal,pamphlets ,,,,
unfasten,,innocent,pans ,,,,
unite,,insecure,pancakes ,,,,
unlock,,insidious,pandas ,,,,
unpack,,insignificant,pansies ,,,,
untidy,,insistent,panthers ,,,,
use,,instructive,pants ,,,,
vanish,,insubstantial,papers ,,,,
visit,,intelligent,parcels ,,,,
wail,,intent,parents ,,,,
wait,,intentional,parks ,,,,
walk,,interesting,parrots ,,,,
wander,,internal,parties ,,,,
want,,international,pastas ,,,,
warm,,intrepid,pastes ,,,,
warn,,ironclad,pastries ,,,,
wash,,irresponsible,patches ,,,,
waste,,irritating,paths ,,,,
watch,,itchy,peas ,,,,
water,,jaded,peaches ,,,,
wave,,jagged,peanuts ,,,,
weigh,,jam-packed,pears ,,,,
welcome,,jaunty,pedestrians ,,,,
whine,,jealous,pelicans ,,,,
whip,,jittery,pens ,,,,
whirl,,joint,pencils ,,,,
whisper,,jolly,peppers ,,,,
whistle,,jovial,perfumes ,,,,
wink,,joyful,persons ,,,,
wipe,,joyous,pests ,,,,
wish,,jubilant,pets ,,,,
wobble,,judicious,phones ,,,,
wonder,,juicy,pianos ,,,,
work,,jumbo,pickles ,,,,
worry,,junior,pictures ,,,,
wrap,,jumpy,pies ,,,,
wreck,,juvenile,pigs ,,,,
wrestle,,kaleidoscopic,pigeons ,,,,
wriggle,,keen,pillows ,,,,
x-ray,,key,pilots ,,,,
yawn,,kind,pimples ,,,,
yell,,kindhearted,pins ,,,,
zip,,kindly,pipes ,,,,
zoo,,klutzy,pizzas ,,,,
,,knobby,planes ,,,,
,,knotty,plants ,,,,
,,knowledgeable,plantations ,,,,
,,knowing,plastics ,,,,
,,known,plates ,,,,
,,kooky,playgrounds ,,,,
,,kosher,plots ,,,,
,,lame,pockets ,,,,
,,lanky,poisons ,,,,
,,large,polices ,,,,
,,last,policemen ,,,,
,,lasting,pollutions ,,,,
,,late,ponds ,,,,
,,lavish,popcorns ,,,,
,,lawful,poppies ,,,,
,,lazy,porcupines ,,,,
,,leading,postages ,,,,
,,lean,postboxes ,,,,
,,leafy,pots ,,,,
,,left,potatoes ,,,,
,,legal,poultries ,,,,
,,legitimate,powders ,,,,
,,light,powers ,,,,
,,lighthearted,prices ,,,,
,,likable,printers ,,,,
,,likely,prisons ,,,,
,,limited,pumpkins ,,,,
,,limp,puppies ,,,,
,,limping,pyramids ,,,,
,,linear,queens ,,,,
,,lined,questions ,,,,
,,liquid,quick sands ,,,,
,,little,quills ,,,,
,,live,quilts ,,,,
,,lively,rabbits ,,,,
,,livid,radios ,,,,
,,loathsome,radishes ,,,,
,,lone,rafts ,,,,
,,lonely,rails ,,,,
,,long,railways ,,,,
,,long-term,rains ,,,,
,,loose,rainbows ,,,,
,,lopsided,raincoats ,,,,
,,lost,rainstorms ,,,,
,,loud,rakes ,,,,
,,lovable,rats ,,,,
,,lovely,raviolis ,,,,
,,loving,rays ,,,,
,,low,recorders ,,,,
,,loyal,rectangles ,,,,
,,lucky,refrigerators ,,,,
,,lumbering,reindeers ,,,,
,,luminous,relativess ,,,,
,,lumpy,restaurants ,,,,
,,lustrous,rewards ,,,,
,,luxurious,rhinoceroses ,,,,
,,mad,races ,,,,
,,made-up,riddles ,,,,
,,magnificent,rings ,,,,
,,majestic,rivers ,,,,
,,major,roads ,,,,
,,male,roasts ,,,,
,,mammoth,rocks ,,,,
,,married,rolls ,,,,
,,marvelous,roofs ,,,,
,,masculine,rooms ,,,,
,,massive,roosters ,,,,
,,mature,roses ,,,,
,,meager,rowboats ,,,,
,,mealy,rubbers ,,,,
,,mean,sacks ,,,,
,,measly,sails ,,,,
,,meaty,sailboats ,,,,
,,medical,sailors ,,,,
,,mediocre,salads ,,,,
,,medium,salmons ,,,,
,,meek,salts ,,,,
,,mellow,sands ,,,,
,,melodic,sandwiches ,,,,
,,memorable,sardines ,,,,
,,menacing,sauces ,,,,
,,merry,sausages ,,,,
,,messy,saws ,,,,
,,metallic,saxophones ,,,,
,,mild,scarecrows ,,,,
,,milky,scarfs ,,,,
,,mindless,schools ,,,,
,,miniature,scissors ,,,,
,,minor,scooters ,,,,
,,minty,scorpions ,,,,
,,miserable,screws ,,,,
,,miserly,screwdrivers ,,,,
,,misguided,seas ,,,,
,,misty,seagulls ,,,,
,,mixed,seals ,,,,
,,modern,seaplanes ,,,,
,,modest,seashores ,,,,
,,moist,seasons ,,,,
,,monstrous,seats ,,,,
,,monthly,seconds ,,,,
,,monumental,seeds ,,,,
,,moral,sentences ,,,,
,,mortified,servants ,,,,
,,motherly,shades ,,,,
,,motionless,shadows ,,,,
,,mountainous,shallots ,,,,
,,muddy,shampoos ,,,,
,,muffled,sharks ,,,,
,,multicolored,shears ,,,,
,,mundane,sheep ,,,,
,,murky,sheets ,,,,
,,mushy,shelves ,,,,
,,musty,shells ,,,,
,,muted,shields ,,,,
,,mysterious,ships ,,,,
,,naive,shirts ,,,,
,,narrow,shoes ,,,,
,,nasty,shoemakers ,,,,
,,natural,shops ,,,,
,,naughty,shorts ,,,,
,,nautical,shoulders ,,,,
,,near,shovels ,,,,
,,neat,shoes ,,,,
,,necessary,sides ,,,,
,,needy,sidewalks ,,,,
,,negative,signs ,,,,
,,neglected,signatures ,,,,
,,negligible,silks ,,,,
,,neighboring,silvers ,,,,
,,nervous,singers ,,,,
,,new,sinks ,,,,
,,next,sisters ,,,,
,,nice,skins ,,,,
,,nifty,skirts ,,,,
,,nimble,skies ,,,,
,,nippy,sleds ,,,,
,,nocturnal,slippers ,,,,
,,noisy,slopes ,,,,
,,nonstop,smokes ,,,,
,,normal,snails ,,,,
,,notable,snakes ,,,,
,,noted,sneezes ,,,,
,,noteworthy,snows ,,,,
,,novel,snowflakes ,,,,
,,noxious,snowmen,,,,
,,numb,soaps ,,,,
,,nutritious,soccer balls ,,,,
,,nutty,socks ,,,,
,,obedient,sofas ,,,,
,,obese,softballs ,,,,
,,oblong,soldiers ,,,,
,,oily,sons ,,,,
,,oblong,songs ,,,,
,,obvious,sounds ,,,,
,,occasional,soups ,,,,
,,odd,soybeans ,,,,
,,oddball,spaces ,,,,
,,offbeat,spades ,,,,
,,offensive,spaghettis ,,,,
,,official,sparks ,,,,
,,old,sparrows ,,,,
,,old-fashioned,spears ,,,,
,,only,speedboats ,,,,
,,open,spiders ,,,,
,,optimal,spikes ,,,,
,,optimistic,spinaches ,,,,
,,opulent,sponges ,,,,
,,orange,spoons ,,,,
,,orderly,spots ,,,,
,,organic,sprouts ,,,,
,,ornate,spies ,,,,
,,ornery,squares ,,,,
,,ordinary,squashes ,,,,
,,original,squids ,,,,
,,other,squirrels ,,,,
,,our,stages ,,,,
,,outlying,staircases ,,,,
,,outgoing,stamps ,,,,
,,outlandish,stars ,,,,
,,outrageous,stations ,,,,
,,outstanding,steams ,,,,
,,oval,steels ,,,,
,,overcooked,stems ,,,,
,,overdue,steps ,,,,
,,overjoyed,stews ,,,,
,,overlooked,sticks ,,,,
,,palatable,stitches ,,,,
,,pale,stingers ,,,,
,,paltry,stomachs ,,,,
,,parallel,stones ,,,,
,,parched,stools ,,,,
,,partial,signs ,,,,
,,passionate,stopwatches,,,,
,,past,stores ,,,,
,,pastel,storms ,,,,
,,peaceful,stories ,,,,
,,peppery,stoves ,,,,
,,perfect,strangers ,,,,
,,perfumed,straws ,,,,
,,periodic,streams ,,,,
,,perky,strings ,,,,
,,personal,submarines ,,,,
,,pertinent,sugars ,,,,
,,pesky,suits ,,,,
,,pessimistic,summers ,,,,
,,petty,suns ,,,,
,,phony,sunshines ,,,,
,,physical,sunflowers ,,,,
,,piercing,supermarkets ,,,,
,,pink,surfboards ,,,,
,,pitiful,surnames ,,,,
,,plain,surprises ,,,,
,,plaintive,sushis ,,,,
,,plastic,swallows ,,,,
,,playful,swamps ,,,,
,,pleasant,swans ,,,,
,,pleased,sweaters ,,,,
,,pleasing,sweatshirts ,,,,
,,plump,sweets ,,,,
,,plush,swings ,,,,
,,polished,switches ,,,,
,,polite,swords ,,,,
,,political,swordfishes ,,,,
,,pointed,syrups ,,,,
,,pointless,tables ,,,,
,,poised,tabletops ,,,,
,,poor,tadpoles ,,,,
,,popular,tails ,,,,
,,portly,targets ,,,,
,,posh,taxes ,,,,
,,positive,taxis ,,,,
,,possible,teas ,,,,
,,potable,teachers ,,,,
,,powerful,teams ,,,,
,,powerless,teeth ,,,,
,,practical,televisions ,,,,
,,precious,tents ,,,,
,,present,textbooks ,,,,
,,prestigious,theaters ,,,,
,,pretty,thistles ,,,,
,,precious,thoughts ,,,,
,,previous,threads ,,,,
,,pricey,throats ,,,,
,,prickly,thrones ,,,,
,,primary,thumbs ,,,,
,,prime,thunders ,,,,
,,pristine,thunderstorms ,,,,
,,private,tickets ,,,,
,,prize,ties ,,,,
,,probable,tigers ,,,,
,,productive,tiles ,,,,
,,profitable,times ,,,,
,,profuse,tires ,,,,
,,proper,toads ,,,,
,,proud,toasts ,,,,
,,prudent,toes ,,,,
,,punctual,toilets ,,,,
,,pungent,tomatoes ,,,,
,,puny,tongues ,,,,
,,pure,toothbrushes ,,,,
,,purple,toothpastes ,,,,
,,pushy,tops ,,,,
,,putrid,tornados ,,,,
,,puzzled,tortoises ,,,,
,,puzzling,towers ,,,,
,,quaint,towns ,,,,
,,qualified,toys ,,,,
,,quarrelsome,tractors ,,,,
,,quarterly,traffics ,,,,
,,queasy,trails ,,,,
,,querulous,trains ,,,,
,,questionable,transports ,,,,
,,quick,trays ,,,,
,,quick-witted,trees ,,,,
,,quiet,triangles ,,,,
,,quintessential,tricks ,,,,
,,quirky,trips ,,,,
,,quixotic,trombones ,,,,
,,quizzical,troubles ,,,,
,,radiant,trousers ,,,,
,,ragged,trucks ,,,,
,,rapid,trumpets ,,,,
,,rare,trunks ,,,,
,,rash,tubs ,,,,
,,raw,tubas ,,,,
,,recent,tugboats ,,,,
,,reckless,tulips ,,,,
,,rectangular,tunas ,,,,
,,ready,tunes ,,,,
,,real,Turkeys ,,,,
,,realistic,turnips ,,,,
,,reasonable,turtles ,,,,
,,red,TVs ,,,,
,,reflecting,twigs ,,,,
,,regal,twilights ,,,,
,,regular,twines ,,,,
,,reliable,umbrellas ,,,,
,,relieved,valleys ,,,,
,,remarkable,vans ,,,,
,,remorseful,vases ,,,,
,,remote,vegetables ,,,,
,,repentant,veils ,,,,
,,required,veins ,,,,
,,respectful,vessels ,,,,
,,responsible,vests ,,,,
,,repulsive,violins ,,,,
,,revolving,volcanoes ,,,,
,,rewarding,volleyballs ,,,,
,,rich,vultures ,,,,
,,rigid,walls ,,,,
,,right,wallabies ,,,,
,,ringed,walruses ,,,,
,,ripe,washers ,,,,
,,roasted,wasps ,,,,
,,robust,wastes ,,,,
,,rosy,watches ,,,,
,,rotating,watchmakers ,,,,
,,rotten,waters ,,,,
,,rough,waterfalls ,,,,
,,round,waves ,,,,
,,rowdy,waxes ,,,,
,,royal,weapons ,,,,
,,rubbery,weasels ,,,,
,,rundown,weathers ,,,,
,,ruddy,wedges ,,,,
,,rude,whales ,,,,
,,runny,wheels ,,,,
,,rural,whips ,,,,
,,rusty,whistles ,,,,
,,sad,wildernesses ,,,,
,,safe,willows ,,,,
,,salty,winds ,,,,
,,same,windows ,,,,
,,sandy,windscreens ,,,,
,,sane,wings ,,,,
,,sarcastic,winters ,,,,
,,sardonic,wires ,,,,
,,satisfied,wishes ,,,,
,,scaly,witches ,,,,
,,scarce,wolfs ,,,,
,,scared,women,,,,
,,scary,woods ,,,,
,,scented,wools ,,,,
,,scholarly,words ,,,,
,,scientific,workshops ,,,,
,,scornful,worms ,,,,
,,scratchy,wounds ,,,,
,,scrawny,wrens ,,,,
,,second,wrenches ,,,,
,,secondary,wrinkles ,,,,
,,second-hand,wrists ,,,,
,,secret,xylophones ,,,,
,,self-assured,yachts ,,,,
,,self-reliant,yaks ,,,,
,,selfish,yards ,,,,
,,sentimental,yogurts ,,,,
,,separate,zebras ,,,,
,,serene,zippers ,,,,
,,serious,zoos ,,,,
,,serpentine,,,,,
,,several,,,,,
,,severe,,,,,
,,shabby,,,,,
,,shadowy,,,,,
,,shady,,,,,
,,shallow,,,,,
,,shameful,,,,,
,,shameless,,,,,
,,sharp,,,,,
,,shimmering,,,,,
,,shiny,,,,,
,,shocked,,,,,
,,shocking,,,,,
,,shoddy,,,,,
,,short,,,,,
,,short-term,,,,,
,,showy,,,,,
,,shrill,,,,,
,,shy,,,,,
,,sick,,,,,
,,silent,,,,,
,,silky,,,,,
,,silly,,,,,
,,silver,,,,,
,,similar,,,,,
,,simple,,,,,
,,simplistic,,,,,
,,sinful,,,,,
,,single,,,,,
,,sizzling,,,,,
,,skeletal,,,,,
,,skinny,,,,,
,,sleepy,,,,,
,,slight,,,,,
,,slim,,,,,
,,slimy,,,,,
,,slippery,,,,,
,,slow,,,,,
,,slushy,,,,,
,,small,,,,,
,,smart,,,,,
,,smoggy,,,,,
,,smooth,,,,,
,,smug,,,,,
,,snappy,,,,,
,,snarling,,,,,
,,sneaky,,,,,
,,sniveling,,,,,
,,snoopy,,,,,
,,sociable,,,,,
,,soft,,,,,
,,soggy,,,,,
,,solid,,,,,
,,somber,,,,,
,,some,,,,,
,,spherical,,,,,
,,sophisticated,,,,,
,,sore,,,,,
,,sorrowful,,,,,
,,soulful,,,,,
,,soupy,,,,,
,,sour,,,,,
,,Spanish,,,,,
,,sparkling,,,,,
,,sparse,,,,,
,,specific,,,,,
,,spectacular,,,,,
,,speedy,,,,,
,,spicy,,,,,
,,spiffy,,,,,
,,spirited,,,,,
,,spiteful,,,,,
,,splendid,,,,,
,,spotless,,,,,
,,spotted,,,,,
,,spry,,,,,
,,square,,,,,
,,squeaky,,,,,
,,squiggly,,,,,
,,stable,,,,,
,,staid,,,,,
,,stained,,,,,
,,stale,,,,,
,,standard,,,,,
,,starchy,,,,,
,,stark,,,,,
,,starry,,,,,
,,steep,,,,,
,,sticky,,,,,
,,stiff,,,,,
,,stimulating,,,,,
,,stingy,,,,,
,,stormy,,,,,
,,straight,,,,,
,,strange,,,,,
,,steel,,,,,
,,strict,,,,,
,,strident,,,,,
,,striking,,,,,
,,striped,,,,,
,,strong,,,,,
,,studious,,,,,
,,stunning,,,,,
,,stupendous,,,,,
,,stupid,,,,,
,,sturdy,,,,,
,,stylish,,,,,
,,subdued,,,,,
,,submissive,,,,,
,,substantial,,,,,
,,subtle,,,,,
,,suburban,,,,,
,,sudden,,,,,
,,sugary,,,,,
,,sunny,,,,,
,,super,,,,,
,,superb,,,,,
,,superficial,,,,,
,,superior,,,,,
,,supportive,,,,,
,,sure-footed,,,,,
,,surprised,,,,,
,,suspicious,,,,,
,,svelte,,,,,
,,sweaty,,,,,
,,sweet,,,,,
,,sweltering,,,,,
,,swift,,,,,
,,sympathetic,,,,,
,,tall,,,,,
,,talkative,,,,,
,,tame,,,,,
,,tan,,,,,
,,tangible,,,,,
,,tart,,,,,
,,tasty,,,,,
,,tattered,,,,,
,,taut,,,,,
,,tedious,,,,,
,,teeming,,,,,
,,tempting,,,,,
,,tender,,,,,
,,tense,,,,,
,,tepid,,,,,
,,terrible,,,,,
,,terrific,,,,,
,,testy,,,,,
,,thankful,,,,,
,,that,,,,,
,,these,,,,,
,,thick,,,,,
,,thin,,,,,
,,third,,,,,
,,thirsty,,,,,
,,this,,,,,
,,thorough,,,,,
,,thorny,,,,,
,,those,,,,,
,,thoughtful,,,,,
,,threadbare,,,,,
,,thrifty,,,,,
,,thunderous,,,,,
,,tidy,,,,,
,,tight,,,,,
,,timely,,,,,
,,tinted,,,,,
,,tiny,,,,,
,,tired,,,,,
,,torn,,,,,
,,total,,,,,
,,tough,,,,,
,,traumatic,,,,,
,,treasured,,,,,
,,tremendous,,,,,
,,tragic,,,,,
,,trained,,,,,
,,tremendous,,,,,
,,triangular,,,,,
,,tricky,,,,,
,,trifling,,,,,
,,trim,,,,,
,,trivial,,,,,
,,troubled,,,,,
,,TRUE,,,,,
,,trusting,,,,,
,,trustworthy,,,,,
,,trusty,,,,,
,,truthful,,,,,
,,tubby,,,,,
,,turbulent,,,,,
,,twin,,,,,
,,ugly,,,,,
,,ultimate,,,,,
,,unacceptable,,,,,
,,unaware,,,,,
,,uncomfortable,,,,,
,,uncommon,,,,,
,,unconscious,,,,,
,,understated,,,,,
,,unequaled,,,,,
,,uneven,,,,,
,,unfinished,,,,,
,,unfit,,,,,
,,unfolded,,,,,
,,unfortunate,,,,,
,,unhappy,,,,,
,,unhealthy,,,,,
,,uniform,,,,,
,,unimportant,,,,,
,,unique,,,,,
,,united,,,,,
,,unkempt,,,,,
,,unknown,,,,,
,,unlawful,,,,,
,,unlined,,,,,
,,unlucky,,,,,
,,unnatural,,,,,
,,unpleasant,,,,,
,,unrealistic,,,,,
,,unripe,,,,,
,,unruly,,,,,
,,unselfish,,,,,
,,unsightly,,,,,
,,unsteady,,,,,
,,unsung,,,,,
,,untidy,,,,,
,,untimely,,,,,
,,untried,,,,,
,,untrue,,,,,
,,unused,,,,,
,,unusual,,,,,
,,unwelcome,,,,,
,,unwieldy,,,,,
,,unwilling,,,,,
,,unwitting,,,,,
,,unwritten,,,,,
,,upbeat,,,,,
,,upright,,,,,
,,upset,,,,,
,,urban,,,,,
,,usable,,,,,
,,used,,,,,
,,useful,,,,,
,,useless,,,,,
,,utilized,,,,,
,,utter,,,,,
,,vacant,,,,,
,,vague,,,,,
,,vain,,,,,
,,valid,,,,,
,,valuable,,,,,
,,vapid,,,,,
,,variable,,,,,
,,vast,,,,,
,,velvety,,,,,
,,venerated,,,,,
,,vengeful,,,,,
,,verifiable,,,,,
,,vibrant,,,,,
,,vicious,,,,,
,,victorious,,,,,
,,vigilant,,,,,
,,vigorous,,,,,
,,villainous,,,,,
,,violet,,,,,
,,violent,,,,,
,,virtual,,,,,
,,virtuous,,,,,
,,visible,,,,,
,,vital,,,,,
,,vivacious,,,,,
,,vivid,,,,,
,,voluminous,,,,,
,,wan,,,,,
,,warlike,,,,,
,,warm,,,,,
,,warmhearted,,,,,
,,warped,,,,,
,,wary,,,,,
,,wasteful,,,,,
,,watchful,,,,,
,,waterlogged,,,,,
,,watery,,,,,
,,wavy,,,,,
,,wealthy,,,,,
,,weak,,,,,
,,weary,,,,,
,,webbed,,,,,
,,wee,,,,,
,,weekly,,,,,
,,weepy,,,,,
,,weighty,,,,,
,,weird,,,,,
,,welcome,,,,,
,,well-documented,,,,,
,,well-groomed,,,,,
,,well-informed,,,,,
,,well-lit,,,,,
,,well-made,,,,,
,,well-off,,,,,
,,well-to-do,,,,,
,,well-worn,,,,,
,,wet,,,,,
,,which,,,,,
,,whimsical,,,,,
,,whirlwind,,,,,
,,whispered,,,,,
,,white,,,,,
,,whole,,,,,
,,whopping,,,,,
,,wicked,,,,,
,,wide,,,,,
,,wide-eyed,,,,,
,,wiggly,,,,,
,,wild,,,,,
,,willing,,,,,
,,wilted,,,,,
,,winding,,,,,
,,windy,,,,,
,,winged,,,,,
,,wiry,,,,,
,,wise,,,,,
,,witty,,,,,
,,wobbly,,,,,
,,woeful,,,,,
,,wonderful,,,,,
,,wooden,,,,,
,,woozy,,,,,
,,wordy,,,,,
,,worldly,,,,,
,,worn,,,,,
,,worried,,,,,
,,worrisome,,,,,
,,worse,,,,,
,,worst,,,,,
,,worthless,,,,,
,,worthwhile,,,,,
,,worthy,,,,,
,,wrathful,,,,,
,,wretched,,,,,
,,writhing,,,,,
,,wrong,,,,,
,,wry,,,,,
,,yawning,,,,,
,,yearly,,,,,
,,yellow,,,,,
,,yellowish,,,,,
,,young,,,,,
,,youthful,,,,,
,,yummy,,,,,
,,zany,,,,,
,,zealous,,,,,
,,zesty,,,,,
,,zigzag,,,,,